sample_id,Early lactation,Intermediate lactation,Late lactation
UK295,1,0,0
UK296,1,0,0
UK297,0,0,1
UK298,0,0,1
UK299,0,1,0
UK3,1,0,0
UK30,1,0,0
UK300,0,1,0
UK301,0,1,0
UK302,0,1,0
UK303,1,0,0
UK304,1,0,0
UK305,1,0,0
UK306,1,0,0
UK307,1,0,0
UK308,1,0,0
UK309,1,0,0
UK31,1,0,0
UK310,1,0,0
UK311,1,0,0
UK312,1,0,0
UK313,1,0,0
UK314,1,0,0
UK315,1,0,0
UK316,1,0,0
UK317,0,1,0
UK318,1,0,0
UK319,0,1,0
UK32,1,0,0
UK320,1,0,0
UK321,1,0,0
UK322,1,0,0
UK323,0,1,0
UK324,0,1,0
UK325,1,0,0
UK326,1,0,0
UK327,1,0,0
UK328,1,0,0
UK329,1,0,0
UK33,1,0,0
UK330,1,0,0
UK331,1,0,0
UK332,1,0,0
UK333,1,0,0
UK334,1,0,0
UK335,0,1,0
UK336,1,0,0
UK337,1,0,0
UK338,1,0,0
UK339,1,0,0
UK34,1,0,0
UK340,1,0,0
UK341,1,0,0
UK342,1,0,0
UK343,1,0,0
UK344,1,0,0
UK345,1,0,0
UK346,1,0,0
UK347,1,0,0
UK348,1,0,0
UK349,1,0,0
UK35,1,0,0
UK350,1,0,0
UK351,1,0,0
UK352,1,0,0
UK353,1,0,0
UK354,1,0,0
UK355,1,0,0
UK356,1,0,0
UK357,1,0,0
UK358,1,0,0
UK359,1,0,0
UK36,1,0,0
UK360,1,0,0
UK361,1,0,0
UK362,1,0,0
UK363,1,0,0
UK364,1,0,0
UK365,0,0,1
UK366,1,0,0
UK367,1,0,0
UK368,1,0,0
UK369,1,0,0
UK37,1,0,0
UK370,1,0,0
UK371,1,0,0
UK372,0,1,0
UK373,0,1,0
UK374,1,0,0
UK375,1,0,0
UK376,1,0,0
UK377,1,0,0
UK378,1,0,0
UK379,1,0,0
UK38,0,1,0
UK380,0,1,0
UK381,1,0,0
UK382,1,0,0
UK383,1,0,0
UK384,1,0,0
UK385,1,0,0
UK386,1,0,0
UK387,1,0,0
UK388,1,0,0
UK389,1,0,0
UK39,1,0,0
UK390,1,0,0
UK391,1,0,0
UK392,1,0,0
UK393,1,0,0
UK394,1,0,0
UK395,1,0,0
UK396,1,0,0
UK397,1,0,0
UK398,0,1,0
UK399,1,0,0
UK4,1,0,0
UK40,0,1,0
UK41,1,0,0
UK42,1,0,0
UK43,1,0,0
UK44,1,0,0
UK45,1,0,0
UK46,1,0,0
UK47,1,0,0
UK48,0,1,0
UK49,1,0,0
UK5,1,0,0
UK50,0,1,0
UK51,1,0,0
UK52,1,0,0
UK53,1,0,0
UK54,1,0,0
UK55,0,1,0
UK56,1,0,0
UK57,1,0,0
UK58,0,1,0
UK59,0,1,0
UK6,0,1,0
UK60,1,0,0
UK61,1,0,0
UK62,1,0,0
UK63,1,0,0
UK64,0,1,0
UK65,1,0,0
UK66,1,0,0
UK67,0,1,0
UK68,0,1,0
UK69,0,1,0
UK7,0,1,0
